sku_id,forecast_week,forecast_units,model_name
SKU_001,2026-01-05,374.0,SeasonalNaive52
SKU_001,2026-01-12,314.0,SeasonalNaive52
SKU_001,2026-01-19,296.0,SeasonalNaive52
SKU_001,2026-01-26,418.0,SeasonalNaive52
SKU_001,2026-02-02,326.0,SeasonalNaive52
SKU_001,2026-02-09,313.0,SeasonalNaive52
SKU_002,2026-01-05,81.0,SeasonalNaive52
SKU_002,2026-01-12,70.0,SeasonalNaive52
SKU_002,2026-01-19,81.0,SeasonalNaive52
SKU_002,2026-01-26,67.0,SeasonalNaive52
SKU_002,2026-02-02,69.0,SeasonalNaive52
SKU_002,2026-02-09,94.0,SeasonalNaive52
SKU_003,2026-01-05,46.0,SeasonalNaive52
SKU_003,2026-01-12,37.0,SeasonalNaive52
SKU_003,2026-01-19,56.0,SeasonalNaive52
SKU_003,2026-01-26,49.0,SeasonalNaive52
SKU_003,2026-02-02,47.0,SeasonalNaive52
SKU_003,2026-02-09,45.0,SeasonalNaive52
SKU_004,2026-01-05,136.0,SeasonalNaive52
SKU_004,2026-01-12,120.0,SeasonalNaive52
SKU_004,2026-01-19,119.0,SeasonalNaive52
SKU_004,2026-01-26,127.0,SeasonalNaive52
SKU_004,2026-02-02,119.0,SeasonalNaive52
SKU_004,2026-02-09,127.0,SeasonalNaive52
SKU_005,2026-01-05,234.0,SeasonalNaive52
SKU_005,2026-01-12,192.0,SeasonalNaive52
SKU_005,2026-01-19,216.0,SeasonalNaive52
SKU_005,2026-01-26,235.0,SeasonalNaive52
SKU_005,2026-02-02,192.0,SeasonalNaive52
SKU_005,2026-02-09,213.0,SeasonalNaive52
SKU_006,2026-01-05,203.0,SeasonalNaive52
SKU_006,2026-01-12,211.0,SeasonalNaive52
SKU_006,2026-01-19,234.0,SeasonalNaive52
SKU_006,2026-01-26,147.0,SeasonalNaive52
SKU_006,2026-02-02,192.0,SeasonalNaive52
SKU_006,2026-02-09,196.0,SeasonalNaive52
