sku_id,category,demand_class,forecast_6_week_units,on_hand_units,on_order_units,lead_time_days,reorder_point,safety_stock_units,stockout_risk,overstock_risk,recommended_action,estimated_rupee_impact
SKU_144,Kitchen,Fast,1836.0,71,0,7,341,58,HIGH,LOW,REORDER,1508586.68
SKU_060,Furniture,Medium,591.0,0,0,8,135,28,HIGH,LOW,REORDER,1220202.17
SKU_092,Lighting,Medium,955.0,139,0,9,226,32,HIGH,LOW,REORDER,826992.04
SKU_034,Decor,Fast,2329.0,203,0,10,584,82,HIGH,LOW,REORDER,786160.75
SKU_196,Furniture,Medium,1046.0,66,0,10,276,38,HIGH,LOW,REORDER,784723.47
SKU_112,Furniture,Fast,2612.0,13,0,6,391,56,HIGH,LOW,REORDER,754650.1
SKU_026,Furniture,Fast,2477.0,85,0,7,473,101,HIGH,LOW,REORDER,739025.64
SKU_120,Kitchen,Medium,962.0,31,0,7,188,38,HIGH,LOW,REORDER,663147.02
SKU_009,Furniture,Medium,619.0,110,0,10,176,32,HIGH,LOW,REORDER,525618.99
SKU_048,Decor,Fast,1605.0,89,0,7,299,50,HIGH,LOW,REORDER,520385.9
SKU_006,Storage,Medium,1183.0,0,0,7,205,34,HIGH,LOW,REORDER,441308.72
SKU_111,Kitchen,Fast,1120.0,0,0,7,219,43,HIGH,LOW,REORDER,429949.78
SKU_042,Storage,Fast,2730.0,251,0,8,528,68,HIGH,LOW,REORDER,390333.62
SKU_068,Decor,Medium,899.0,73,0,9,225,35,HIGH,LOW,REORDER,357515.73
SKU_155,Furniture,Medium,863.0,0,0,10,233,38,HIGH,LOW,REORDER,352081.18
SKU_160,Lighting,Fast,2443.0,384,0,10,623,77,HIGH,LOW,REORDER,348579.47
SKU_044,Decor,Fast,1341.0,118,0,8,288,44,HIGH,LOW,REORDER,346724.51
SKU_106,Lighting,Medium,837.0,0,0,10,216,33,HIGH,LOW,REORDER,344203.29
SKU_150,Furniture,Medium,936.0,68,0,5,131,28,HIGH,LOW,REORDER,336302.86
SKU_046,Lighting,Fast,2078.0,63,0,3,199,49,HIGH,LOW,REORDER,329433.35
SKU_022,Decor,Fast,2595.0,218,0,6,404,61,HIGH,LOW,REORDER,309522.4
SKU_035,Kitchen,Medium,443.0,43,0,6,78,17,HIGH,LOW,REORDER,304713.4
SKU_199,Furniture,Medium,555.0,15,0,6,91,21,HIGH,LOW,REORDER,293936.36
SKU_037,Furniture,Fast,2475.0,35,0,2,143,38,HIGH,LOW,REORDER,289501.2
SKU_083,Lighting,Fast,1652.0,70,0,8,369,71,HIGH,LOW,REORDER,288904.45
