sku_id,week_start,demand_units,revenue,avg_unit_price,avg_discount_pct,promo_days,holiday_days,category,subcategory,launch_date,unit_cost,list_price,demand_class,base_daily_demand,lead_time_days,warehouse_id,week_of_year,month,quarter,time_index,lag_1,lag_2,lag_4,lag_8,lag_13,lag_52,rolling_mean_4,rolling_std_4
SKU_001,2024-01-01,386,907056.81,2342.8814285714284,14.321428571428571,7,1,Lighting,Floor Lamp,2023-11-10,1240.81,2734.5,Fast,42.526,3,WH_001,1,1,1,0,,,,,,,,0.0
SKU_002,2024-01-01,85,135191.22999999998,1587.2185714285715,16.86285714285714,7,1,Kitchen,Cookware,2023-09-15,1217.0,1909.17,Medium,10.071,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_003,2024-01-01,62,42641.01,689.9985714285714,15.348571428571429,7,1,Storage,Shelf,2023-04-15,529.43,815.1,Slow,6.825,9,WH_001,1,1,1,0,,,,,,,,0.0
SKU_004,2024-01-01,159,178397.93,1121.152857142857,14.677142857142858,7,1,Lighting,Table Lamp,2023-06-30,930.34,1314.0,Medium,16.306,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_005,2024-01-01,202,286080.67,1427.3757142857141,12.324285714285713,7,1,Furniture,Sofa,2023-06-13,1011.28,1628.01,Fast,25.87,9,WH_001,1,1,1,0,,,,,,,,0.0
SKU_006,2024-01-01,186,306862.6,1657.7857142857142,13.161428571428571,7,1,Storage,Shelf,2023-11-02,1339.99,1909.05,Medium,24.426,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_007,2024-01-01,250,323774.28,1283.9942857142855,14.017142857142858,7,1,Lighting,LED Light,2023-12-26,715.99,1493.3,Medium,21.341,4,WH_001,1,1,1,0,,,,,,,,0.0
SKU_008,2024-01-01,41,41430.47,1019.8114285714286,13.322857142857144,7,1,Lighting,LED Light,2023-03-28,805.1,1176.56,Slow,5.185,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_009,2024-01-01,142,937735.77,6516.698571428571,13.98,7,1,Furniture,Desk,2023-07-30,4742.64,7575.84,Medium,14.361,10,WH_001,1,1,1,0,,,,,,,,0.0
SKU_010,2024-01-01,37,22856.7,612.8199999999999,11.654285714285715,7,1,Kitchen,Appliance,2023-01-03,465.07,693.65,Slow,3.42,8,WH_001,1,1,1,0,,,,,,,,0.0
SKU_011,2024-01-01,47,475391.61,10101.819999999998,15.071428571428571,7,1,Decor,Vase,2023-11-09,8000.98,11894.55,Slow,5.567,4,WH_001,1,1,1,0,,,,,,,,0.0
SKU_012,2024-01-01,238,301829.11,1248.2728571428572,18.665714285714284,7,1,Storage,Cabinet,2023-11-06,754.28,1534.73,Fast,30.794,4,WH_001,1,1,1,0,,,,,,,,0.0
SKU_013,2024-01-01,17,10941.949999999999,639.7971428571428,13.124285714285715,7,1,Kitchen,Cookware,2023-10-30,342.02,736.46,Slow,2.332,5,WH_001,1,1,1,0,,,,,,,,0.0
SKU_014,2024-01-01,125,378714.64999999997,3030.1042857142857,12.84142857142857,7,1,Storage,Organizer,2023-01-07,2385.81,3476.59,Medium,13.406,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_015,2024-01-01,18,16493.96,947.8014285714286,15.834285714285715,7,1,Kitchen,Appliance,2023-10-07,582.58,1126.12,Slow,3.089,7,WH_001,1,1,1,0,,,,,,,,0.0
SKU_016,2024-01-01,36,69111.82,1939.5614285714287,16.147142857142857,7,1,Decor,Cushion,2023-01-29,1104.39,2313.1,Slow,4.242,6,WH_001,1,1,1,0,,,,,,,,0.0
SKU_017,2024-01-01,65,215359.38999999998,3303.175714285714,15.392857142857142,7,1,Kitchen,Storage,2023-11-26,2646.07,3904.11,Slow,7.549,9,WH_001,1,1,1,0,,,,,,,,0.0
